Entry Date;Property type;Tipology;Condition;Condition;Location;Price;Areas (sqm);€/sqm;Built year;Distance;Latitude;Longitude;Characteristics
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;85000;187,5;453,33;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;650000;351;1851,85;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;700000;351;1994,30;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;295000;177,84;1658,79;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;285000;177,84;1602,56;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;280000;238;1176,47;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;700000;181,75;3851,44;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;290000;200;1450,00;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;365000;334;1092,81;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;237500;240;989,58;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;179000;142,2;1258,79;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;290000;617,45;469,67;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;850000;368;2309,78;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;290000;203;1428,57;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;590000;350;1685,71;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;245000;203;1206,90;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;590000;325;1815,38;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;289000;90;3211,11;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;260000;240;1083,33;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;260000;178;1460,67;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;280000;198,7;1409,16;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;295000;240;1229,17;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;260000;198;1313,13;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;285000;238;1197,48;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;450000;250;1800,00;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;330000;275,1;1199,56;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;330000;275;1200,00;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;285000;240;1187,50;;;;;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;265000;164;1615,85;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;268000;146;1835,62;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;490000;142;3450,70;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;255000;209,6;1216,60;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;190000;128;1484,38;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;490000;141;3475,18;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;159000;140;1135,71;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;290000;187;1550,80;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;159000;100;1590,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;175000;243,3;719,28;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;255000;191;1335,08;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;260000;260,4;998,46;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;90000;110;818,18;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;155000;105;1476,19;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;85000;188;452,13;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;160000;150;1066,67;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;380000;185;2054,05;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;160000;140;1142,86;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;160000;130;1230,77;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha do Carmo;49900;90;554,44;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha do Carmo;325000;320;1015,63;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha do Carmo;85000;229;371,18;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);199000;160;1243,75;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);129000;60;2150,00;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);299500;222;1349,10;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);95000;157;605,10;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);80000;280;285,71;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);225000;204;1102,94;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);139000;110;1263,64;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);150000;200;750,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);320000;171,57;1865,13;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);115500;260;444,23;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);69900;75;932,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);148000;80;1850,00;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);130000;200;650,00;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);550000;248;2217,74;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);350000;300;1166,67;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);225000;204;1102,94;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);120000;100;1200,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);260000;210;1238,10;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);100000;67;1492,54;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);128000;64,7;1978,36;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);125000;80;1562,50;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);125000;72;1736,11;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);75000;75;1000,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);269000;150;1793,33;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);230000;230;1000,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);240000;155;1548,39;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);230000;160;1437,50;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);130000;75;1733,33;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);225000;200;1125,00;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);340000;195;1743,59;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);95216;123,2;772,86;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);45000;48;937,50;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);130000;56,3;2309,06;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);130000;81;1604,94;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);125000;72;1736,11;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);90000;136;661,76;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);230000;190;1210,53;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);165000;142;1161,97;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);165000;75;2200,00;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);125000;70;1785,71;;;;;
21/02/21;Houses;T4;New;New;Aveiro,Ílhavo,Gafanha da Encarnação;375000;97;3865,98;0 €/sqm;5 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;375000;97;3865,98;0 €/sqm;9 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;237000;227;1044,05;0 €/sqm;8 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;New;New;Aveiro,Ílhavo,Gafanha da Encarnação;450000;260;1730,77;0 €/sqm;7 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Under Construction;Under Construction;Aveiro,Ílhavo,Gafanha da Encarnação;240000;144;1666,67;0 €/sqm;7 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;425000;356;1193,82;1 997 €/sqm;9 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;459000;239;1920,50;2 010 €/sqm;8 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;New;New;Aveiro,Ílhavo,Gafanha da Encarnação;375000;151;2483,44;0 €/sqm;5 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;399000;362;1102,21;0 €/sqm;7 €/sqm;41 €/sqm;-9 €/sqm;
16/02/21;Houses;T4;Under Project;Under Project;Aveiro,Ílhavo,Gafanha da Nazaré;280000;200;1400,00;0 €/sqm;6 €/sqm;41 €/sqm;-9 €/sqm;
16/02/21;Houses;T4;Under Project;Under Project;Aveiro,Ílhavo,Gafanha da Nazaré;260000;177;1468,93;0 €/sqm;6 €/sqm;41 €/sqm;-9 €/sqm;
16/02/21;Houses;T4;Under Project;Under Project;Aveiro,Ílhavo,Gafanha da Nazaré;295000;177;1666,67;0 €/sqm;6 €/sqm;41 €/sqm;-9 €/sqm;
16/02/21;Houses;T4;Under Project;Under Project;Aveiro,Ílhavo,Gafanha da Nazaré;285000;177;1610,17;0 €/sqm;6 €/sqm;41 €/sqm;-9 €/sqm;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;235000;513;458,09;1 975 €/sqm;5 €/sqm;41 €/sqm;-9 €/sqm;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;280000;295;949,15;0 €/sqm;5 €/sqm;41 €/sqm;-9 €/sqm;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;85000;187;454,55;0 €/sqm;6 €/sqm;41 €/sqm;-9 €/sqm;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;210000;233;901,29;0 €/sqm;6 €/sqm;41 €/sqm;-9 €/sqm;
16/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;700000;181;3867,40;0 €/sqm;8 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;260000;260;1000,00;0 €/sqm;5 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;159000;106;1500,00;0 €/sqm;6 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Under Construction;Under Construction;Aveiro,Ílhavo,Gafanha da Nazaré;675000;463;1457,88;2 020 €/sqm;9 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;675000;210;3214,29;1 999 €/sqm;9 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;255000;209;1220,10;0 €/sqm;6 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;700000;266;2631,58;0 €/sqm;7 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;395000;168;2351,19;0 €/sqm;8 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T2;Renovated;Renovated;Aveiro,Ílhavo,Ílhavo (São Salvador);130000;100;1300,00;0 €/sqm;4 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T2;Renovated;Renovated;Aveiro,Ílhavo,Ílhavo (São Salvador);128000;64;2000,00;0 €/sqm;3 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Under Construction;Under Construction;Aveiro,Ílhavo,Ílhavo (São Salvador);189500;140;1353,57;0 €/sqm;8 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);95000;65;1461,54;0 €/sqm;6 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);130000;70;1857,14;0 €/sqm;3 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Renovated;Renovated;Aveiro,Ílhavo,Ílhavo (São Salvador);139000;64;2171,88;0 €/sqm;3 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);320000;171;1871,35;0 €/sqm;4 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T2;Renovated;Renovated;Aveiro,Ílhavo,Ílhavo (São Salvador);135000;90;1500,00;0 €/sqm;8 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);290000;227;1277,53;0 €/sqm;4 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);165000;65;2538,46;0 €/sqm;5 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);448000;135;3318,52;0 €/sqm;3 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);320000;300;1066,67;0 €/sqm;4 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);265000;204;1299,02;0 €/sqm;3 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T2;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);130000;56;2321,43;0 €/sqm;4 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T2;Renovated;Renovated;Aveiro,Ílhavo,Ílhavo (São Salvador);165000;106;1556,60;0 €/sqm;4 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T2;New;New;Aveiro,Ílhavo,Ílhavo (São Salvador);145000;76;1907,89;2 020 €/sqm;4 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T2;New;New;Aveiro,Ílhavo,Ílhavo (São Salvador);130000;71;1830,99;0 €/sqm;4 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);340000;227;1497,80;0 €/sqm;4 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,Ílhavo,Ílhavo (São Salvador);215000;178;1207,87;2 006 €/sqm;2 €/sqm;41 €/sqm;-9 €/sqm;
21/02/21;Houses;T2;To Recuperate;To Recuperate;Aveiro,Ílhavo,Ílhavo (São Salvador);69000;106;650,94;0 €/sqm;6 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T5;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;265000;200;1325,00;0 €/sqm;6 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T6;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;420000;190;2210,53;0 €/sqm;8 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T4;New;New;Aveiro,Aveiro,Aradas;395000;250;1580,00;2 021 €/sqm;2 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T4;Used;Used;Aveiro,Aveiro,Cacia;290000;261;1111,11;2 007 €/sqm;7 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T4;Used;Used;Aveiro,Aveiro,Eixo e Eirol;260000;232;1120,69;0 €/sqm;6 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T3;New;New;Aveiro,Aveiro,Esgueira;198000;178;1112,36;0 €/sqm;3 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T3;Under Construction;Under Construction;Aveiro,Aveiro,Aradas;375000;280;1339,29;0 €/sqm;3 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T6;Used;Used;Aveiro,Aveiro,Eixo e Eirol;52000;125;416,00;0 €/sqm;9 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T6;To Recuperate;To Recuperate;Aveiro,Aveiro,Cacia;175000;376;465,43;0 €/sqm;8 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T2;Renovated;Renovated;Aveiro,Aveiro,Esgueira;320000;110;2909,09;0 €/sqm;3 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T6;Used;Used;Aveiro,Ílhavo,Gafanha da Nazaré;280000;300;933,33;0 €/sqm;6 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T5;Used;Used;Aveiro,Ílhavo,Gafanha da Encarnação;210000;143;1468,53;0 €/sqm;8 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T3;New;New;Aveiro,Aveiro,Cacia;225000;189;1190,48;0 €/sqm;7 €/sqm;41 €/sqm;-9 €/sqm;
08/05/19;Houses;T2;Ruin;Ruin;Aveiro,Aveiro,Esgueira;88000;311;282,96;0 €/sqm;;0 €/sqm;0 €/sqm;
13/05/21;Houses;T3;Under Construction;Under Construction;Aveiro,Aveiro,Aradas;220000;150;1466,67;0 €/sqm;1 €/sqm;41 €/sqm;-9 €/sqm;
13/05/21;Houses;T5;Used;Used;Aveiro,Aveiro,Eixo e Eirol;255000;232;1099,14;0 €/sqm;9 €/sqm;41 €/sqm;-9 €/sqm;
