Entry Date;Property type;Tipology;Condition;Location;Price;Areas (sqm);euros/sqm;Built year;Latitude;Longitude;Characteristics;Mister URL;;;;;;;;;;;
20/07/20;Apartments;T1;Used;Aveiro,Aveiro,Aradas;125000;50 sqm;2500;;;;;http://primeavm.prime-yield.com/property/5788825;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;145000;96 sqm;1510;;;;;http://primeavm.prime-yield.com/property/5788826;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;145000;83 sqm;1756;;;;;http://primeavm.prime-yield.com/property/5788827;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;140000;96 sqm;1458;;;;;http://primeavm.prime-yield.com/property/5788828;;;;;;;;;;;
20/07/20;Apartments;T1;New;Aveiro,Aveiro,Aradas;130000;66 sqm;1961;;;;;http://primeavm.prime-yield.com/property/5788829;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;295000;126 sqm;2351;;;;;http://primeavm.prime-yield.com/property/5788830;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;305000;126 sqm;2430;;;;;http://primeavm.prime-yield.com/property/5788831;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;152500;95 sqm;1605;;;;;http://primeavm.prime-yield.com/property/5788832;;;;;;;;;;;
20/07/20;Apartments;T1;Used;Aveiro,Aveiro,Aradas;170000;68 sqm;2500;;;;;http://primeavm.prime-yield.com/property/5788833;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;145000;87 sqm;1673;;;;;http://primeavm.prime-yield.com/property/5788834;;;;;;;;;;;
20/07/20;Apartments;T1;Used;Aveiro,Aveiro,Aradas;130000;105 sqm;1238;;;;;http://primeavm.prime-yield.com/property/5788835;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;145000;83 sqm;1756;;;;;http://primeavm.prime-yield.com/property/5788836;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;145000;136 sqm;1066;;;;;http://primeavm.prime-yield.com/property/5788837;;;;;;;;;;;
20/07/20;Apartments;T1;New;Aveiro,Aveiro,Aradas;130000;56 sqm;2321;;;;;http://primeavm.prime-yield.com/property/5788838;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;140000;125 sqm;1120;;;;;http://primeavm.prime-yield.com/property/5788839;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;145000;139 sqm;1043;;;;;http://primeavm.prime-yield.com/property/5788840;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;112500;80 sqm;1408;;;;;http://primeavm.prime-yield.com/property/5788841;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;180000;95 sqm;1895;;;;;http://primeavm.prime-yield.com/property/5788842;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;295000;126 sqm;2341;;;;;http://primeavm.prime-yield.com/property/5788843;;;;;;;;;;;
20/07/20;Apartments;T1;New;Aveiro,Aveiro,Aradas;130000;72 sqm;1806;;;;;http://primeavm.prime-yield.com/property/5788844;;;;;;;;;;;
20/07/20;Apartments;T1;Used;Aveiro,Aveiro,Aradas;130000;70 sqm;1857;;;;;http://primeavm.prime-yield.com/property/5788845;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;145000;100 sqm;1450;;;;;http://primeavm.prime-yield.com/property/5788846;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;145000;100 sqm;1450;;;;;http://primeavm.prime-yield.com/property/5788847;;;;;;;;;;;
20/07/20;Apartments;T1;Used;Aveiro,Aveiro,Aradas;130000;65 sqm;2000;;;;;http://primeavm.prime-yield.com/property/5788848;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;285000;125 sqm;2280;;;;;http://primeavm.prime-yield.com/property/5788849;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;145000;92 sqm;1576;;;;;http://primeavm.prime-yield.com/property/5788850;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;145000;93 sqm;1559;;;;;http://primeavm.prime-yield.com/property/5788851;;;;;;;;;;;
20/07/20;Apartments;T1;New;Aveiro,Aveiro,Aradas;130000;66 sqm;1961;;;;;http://primeavm.prime-yield.com/property/5788852;;;;;;;;;;;
20/07/20;Apartments;T2;New;Aveiro,Aveiro,Aradas;145000;156 sqm;929;;;;;http://primeavm.prime-yield.com/property/5788853;;;;;;;;;;;
20/07/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas;179000;90 sqm;1989;;;;;http://primeavm.prime-yield.com/property/5788854;;;;;;;;;;;
20/07/20;Apartments;T1;Used;Aveiro,Aveiro,Aradas;114400;73 sqm;1567;;;;;http://primeavm.prime-yield.com/property/5788855;;;;;;;;;;;
25/09/20;Apartments;T1;Used;Aveiro,Aveiro,Aradas,Rua das Glic’nias - Urbaniza‹o Glic’nias, Aradas, Aveiro;170000;63 sqm;2698;2018;40,62603264;-8,645481241;Elevator, Central Heating, Equipped kitchen, Suite, Accessibility for the disabled;http://primeavm.prime-yield.com/property/5788960;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;210000;138 sqm;1522;1998;40,61821;-8,6423;Central Heating, Elevator;http://primeavm.prime-yield.com/property/5788961;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Rua das Glic’nias - Urbaniza‹o Glic’nias, Aradas, Aveiro;285000;110 sqm;2603;;40,6262235;-8,64537369;Elevator;http://primeavm.prime-yield.com/property/5788962;;;;;;;;;;;
25/09/20;Apartments;T1;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;130000;72 sqm;1806;2020;40,61821;-8,6423;;http://primeavm.prime-yield.com/property/5788963;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;138000;154 sqm;896;2001;40,6193123;-8,644814;Central Heating, Storage, Balcony;http://primeavm.prime-yield.com/property/5788964;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Rua do Baixeiro - Bonsucesso, Aradas, Aveiro;125000;83 sqm;1506;2006;40,60081;-8,640358;Balcony, Fireplace, Parking;http://primeavm.prime-yield.com/property/5788965;;;;;;;;;;;
25/09/20;Apartments;T1;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;130000;62 sqm;2097;;40,61821;-8,6423;;http://primeavm.prime-yield.com/property/5788966;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Rua das Glic’nias - Urbaniza‹o Glic’nias, Aradas, Aveiro;225000;110 sqm;2045;1998;40,626327;-8,644778;Parking, Furnished, Fireplace, Box, Suite, Central Heating, Garden, Balcony, Elevator;http://primeavm.prime-yield.com/property/5788967;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Rua de Ovar, Aradas, Aveiro;129000;78 sqm;1654;1989;40,627078;-8,651422;Elevator, Furnished;http://primeavm.prime-yield.com/property/5788968;;;;;;;;;;;
25/09/20;Apartments;T1;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;130000;66 sqm;1961;;40,6193123;-8,644814;Garden;http://primeavm.prime-yield.com/property/5788969;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;350000;123 sqm;2846;;40,62668814;-8,646062636;Elevator, Central Heating, Accessibility for the disabled;http://primeavm.prime-yield.com/property/5788970;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Rua das Glic’nias - Urbaniza‹o Glic’nias, Aradas, Aveiro;295000;126 sqm;2351;;40,6260005;-8,646034;Elevator;http://primeavm.prime-yield.com/property/5788971;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;225000;111 sqm;2036;;40,6232485;-8,6460623;Elevator, Central Heating, Garden, Suite, Furnished, Fireplace, Balcony;http://primeavm.prime-yield.com/property/5788972;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Rua das Glic’nias - Urbaniza‹o Glic’nias, Aradas, Aveiro;285000;110 sqm;2591;2018;40,626324;-8,645419;Balcony, Elevator, Accessibility for the disabled, Parking, Suite;http://primeavm.prime-yield.com/property/5788973;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Rua das Glic’nias - Urbaniza‹o Glic’nias, Aradas, Aveiro;390000;150 sqm;2600;;40,6260005;-8,646034;;http://primeavm.prime-yield.com/property/5788974;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Rua das Glic’nias - Urbaniza‹o Glic’nias, Aradas, Aveiro;305000;126 sqm;2421;2018;40,626324;-8,645419;Suite, Elevator, Balcony, Parking, Accessibility for the disabled;http://primeavm.prime-yield.com/property/5788975;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;390000;150 sqm;2600;;40,6269845;-8,6453837;Elevator;http://primeavm.prime-yield.com/property/5788976;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Sem Nome, Aradas, Aveiro;125000;83 sqm;1506;2006;40,600308;-8,636701;Box, Equipped kitchen, Fireplace, Balcony;http://primeavm.prime-yield.com/property/5788977;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;390000;152 sqm;2566;2018;40,6166878;-8,647614;Balcony, Central Heating, Equipped kitchen;http://primeavm.prime-yield.com/property/5788978;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Travessa do Eucalipto Sul, Aradas, Aveiro;150000;92 sqm;1630;1977;40,625599;-8,647687;Balcony, Storage, Fireplace, Furnished;http://primeavm.prime-yield.com/property/5788979;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;390000;150 sqm;2600;2018;40,61821;-8,6423;Central Heating;http://primeavm.prime-yield.com/property/5788980;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Rua das Glic’nias - Urbaniza‹o Glic’nias, Aradas, Aveiro;305000;126 sqm;2430;;40,6260005;-8,646034;;http://primeavm.prime-yield.com/property/5788981;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Rua Direita de Aradas, Aradas, Aveiro;225000;110 sqm;2045;;40,616372;-8,628658;Central Heating, Balcony, Suite, Elevator, Fireplace;http://primeavm.prime-yield.com/property/5788982;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;295000;126 sqm;2351;;40,6193123;-8,644814;Elevator;http://primeavm.prime-yield.com/property/5788983;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;223000;162 sqm;1377;;40,6193123;-8,644814;Elevator;http://primeavm.prime-yield.com/property/5788984;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;285000;110 sqm;2603;;40,6193123;-8,644814;Elevator;http://primeavm.prime-yield.com/property/5788987;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;223000;145 sqm;1538;;40,6193123;-8,644814;Suite, Central Heating, Balcony, Furnished;http://primeavm.prime-yield.com/property/5788988;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;225000;110 sqm;2045;1999;40,61821;-8,6423;Elevator, Garden, Furnished;http://primeavm.prime-yield.com/property/5788989;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Urbaniza‹o Eucalipto do Sul - Aradas, Aradas, Aveiro;150000;92 sqm;1630;1977;40,616372;-8,628658;Fireplace, Equipped kitchen, Balcony;http://primeavm.prime-yield.com/property/5788991;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;160000;105 sqm;1519;;40,6193123;-8,644814;;http://primeavm.prime-yield.com/property/5788992;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;305000;126 sqm;2430;;40,6193123;-8,644814;Elevator;http://primeavm.prime-yield.com/property/5788994;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;160000;103 sqm;1555;;40,6193123;-8,644814;;http://primeavm.prime-yield.com/property/5788995;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Avenida Dom Frei de Miguel de Bulh›es e Sousa - Urbaniza‹o Glic’nias, Aradas, Aveiro;285000;109 sqm;2615;2018;40,62651447;-8,645758185;Elevator, Balcony, Equipped kitchen, Suite;http://primeavm.prime-yield.com/property/5788998;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;159000;118 sqm;1347;2020;40,61821;-8,6423;;http://primeavm.prime-yield.com/property/5789000;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;285000;110 sqm;2603;;40,6193123;-8,644814;Elevator;http://primeavm.prime-yield.com/property/5789003;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;175000;110 sqm;1596;;40,62517106;-8,647613507;Elevator;http://primeavm.prime-yield.com/property/5789005;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;285000;99 sqm;2879;2018;40,61821;-8,6423;Central Heating;http://primeavm.prime-yield.com/property/5789007;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;390000;140 sqm;2786;;40,6167;-8,64761;;http://primeavm.prime-yield.com/property/5789008;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;380000;219 sqm;1735;2017;40,6167;-8,64761;;http://primeavm.prime-yield.com/property/5789009;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;285000;156 sqm;1827;;40,6167;-8,64761;;http://primeavm.prime-yield.com/property/5789010;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;160000;109 sqm;1468;;40,6166878;-8,647614;;http://primeavm.prime-yield.com/property/5789013;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;148000;92 sqm;1615;;40,6193123;-8,644814;;http://primeavm.prime-yield.com/property/5789014;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;160000;103 sqm;1556;;40,6166878;-8,647614;Accessibility for the disabled;http://primeavm.prime-yield.com/property/5789016;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;125000;82 sqm;1524;;40,616372;-8,628658;;http://primeavm.prime-yield.com/property/5789017;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;160000;120 sqm;1333;;40,6193123;-8,644814;;http://primeavm.prime-yield.com/property/5789019;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;160000;105 sqm;1524;;40,61821;-8,6423;;http://primeavm.prime-yield.com/property/5789021;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;120000;90 sqm;1333;;40,61745;-8,64155;;http://primeavm.prime-yield.com/property/5789022;;;;;;;;;;;
25/09/20;Apartments;T3;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;160000;110 sqm;1455;;40,6193123;-8,644814;;http://primeavm.prime-yield.com/property/5789023;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;145000;82 sqm;1762;;40,6166878;-8,647614;Equipped kitchen;http://primeavm.prime-yield.com/property/5789024;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;152500;116 sqm;1315;;40,6193123;-8,644814;;http://primeavm.prime-yield.com/property/5789025;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;145000;98 sqm;1480;;40,61821;-8,6423;;http://primeavm.prime-yield.com/property/5789026;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;145000;82 sqm;1768;;40,6193123;-8,644814;;http://primeavm.prime-yield.com/property/5789027;;;;;;;;;;;
25/09/20;Apartments;T2;Used;Aveiro,Aveiro,Aradas,Aradas, Aveiro;148000;92 sqm;1609;;40,61745;-8,64155;;http://primeavm.prime-yield.com/property/5789028;;;;;;;;;;;
10/09/20;Apartments;T1;Used;Aveiro,Aveiro,Cacia,Largo Esta‹o, Cacia, Aveiro;155000;54 sqm;2870;2021;40,64440038;-8,639249141;Balcony;http://primeavm.prime-yield.com/property/5789031;;;;;;;;;;;
10/09/20;Apartments;T1;Used;Aveiro,Aveiro,Cacia,Largo Esta‹o, Cacia, Aveiro;160000;54 sqm;2963;2021;40,64440038;-8,639249141;Balcony;http://primeavm.prime-yield.com/property/5789032;;;;;;;;;;;
10/09/20;Apartments;T1;Used;Aveiro,Aveiro,Cacia,Largo Esta‹o, Cacia, Aveiro;155000;54 sqm;2870;2021;40,64440038;-8,639249141;Balcony;http://primeavm.prime-yield.com/property/5789033;;;;;;;;;;;
10/09/20;Apartments;T1;Used;Aveiro,Aveiro,Cacia,Largo Esta‹o, Cacia, Aveiro;160000;54 sqm;2963;2021;40,64440038;-8,639249141;Balcony;http://primeavm.prime-yield.com/property/5789034;;;;;;;;;;;
10/09/20;Apartments;T1;Used;Aveiro,Aveiro,Cacia,Cacia, Aveiro;165000;64 sqm;2578;;40,676892;-8,599149;;http://primeavm.prime-yield.com/property/5789035;;;;;;;;;;;
10/09/20;Apartments;T1;Used;Aveiro,Aveiro,Cacia,Cacia, Aveiro;120000;42 sqm;2857;;40,66809;-8,60507;;http://primeavm.prime-yield.com/property/5789036;;;;;;;;;;;
22/10/20;Apartments;T3;Used;Aveiro,Aveiro,Cacia,Cacia, Aveiro;135000;131 sqm;1031;;40,641054;-8,609025;Balcony, Equipped kitchen, Storage;http://primeavm.prime-yield.com/property/5789037;;;;;;;;;;;
22/10/20;Apartments;T3;Used;Aveiro,Aveiro,Cacia,Rua da Escola, Cacia, Aveiro;99000;88 sqm;1125;;40,687587;-8,615789;Storage, Balcony, Fireplace, Parking;http://primeavm.prime-yield.com/property/5789038;;;;;;;;;;;
22/10/20;Apartments;T3;Used;Aveiro,Aveiro,Cacia,Rua Lares, Cacia, Aveiro;135000;131 sqm;1031;;40,6854;-8,597361;;http://primeavm.prime-yield.com/property/5789039;;;;;;;;;;;
22/10/20;Apartments;T3;Used;Aveiro,Aveiro,Cacia,Rua da Igreja, Cacia, Aveiro;99000;88 sqm;1125;;40,690189;-8,619154;Fireplace, Equipped kitchen, Balcony;http://primeavm.prime-yield.com/property/5789040;;;;;;;;;;;
22/10/20;Apartments;T3;Used;Aveiro,Aveiro,Cacia,Rua Lares, Cacia, Aveiro;135000;131 sqm;1031;;40,6854;-8,597361;;http://primeavm.prime-yield.com/property/5789041;;;;;;;;;;;
22/10/20;Apartments;T3;Used;Aveiro,Aveiro,Cacia,Cacia, Aveiro;125000;109 sqm;1145;1997;40,6854;-8,597361;Balcony, Fireplace;http://primeavm.prime-yield.com/property/5789042;;;;;;;;;;;
22/10/20;Apartments;T3;Used;Aveiro,Aveiro,Cacia,Cacia, Aveiro;157500;140 sqm;1125;;40,68435;-8,597059;Furnished;http://primeavm.prime-yield.com/property/5789043;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Rua Doutor JosŽ Marques Graa, Eixo e Eirol, Aveiro;80000;68 sqm;1176;;40,641054;-8,609025;Equipped kitchen, Fireplace, Elevator, Furnished;http://primeavm.prime-yield.com/property/5789053;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;95000;87 sqm;1092;;40,6107826;-8,536003;Elevator, Suite, Garden, Storage;http://primeavm.prime-yield.com/property/5789057;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;95000;88 sqm;1080;1998;40,6107826;-8,536003;Elevator, Storage, Equipped kitchen;http://primeavm.prime-yield.com/property/5789060;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;94000;88 sqm;1068;2002;40,62927;-8,56665;;http://primeavm.prime-yield.com/property/5789063;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;94000;70 sqm;1343;1991;40,62793;-8,560917;Equipped kitchen, Elevator;http://primeavm.prime-yield.com/property/5789064;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;95000;80 sqm;1188;;40,636265;-8,598046;Equipped kitchen, Garden, Storage, Elevator;http://primeavm.prime-yield.com/property/5789065;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;95000;80 sqm;1188;;40,62927;-8,56665;Garden;http://primeavm.prime-yield.com/property/5789066;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;94500;80 sqm;1181;;40,63644026;-8,596535763;Elevator, Garden, Equipped kitchen;http://primeavm.prime-yield.com/property/5789067;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;80000;80 sqm;1000;;40,6107826;-8,536003;Fireplace;http://primeavm.prime-yield.com/property/5789068;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;95000;70 sqm;1357;;40,62927;-8,56665;;http://primeavm.prime-yield.com/property/5789069;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;107500;100 sqm;1075;;40,62793;-8,560917;Fireplace, Elevator, Balcony;http://primeavm.prime-yield.com/property/5789070;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;98000;86 sqm;1134;;40,62927;-8,56665;;http://primeavm.prime-yield.com/property/5789071;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;94000;88 sqm;1074;;40,6360561;-8,5949004;Elevator;http://primeavm.prime-yield.com/property/5789072;;;;;;;;;;;
10/09/20;Apartments;T2;Renovated;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;92500;59 sqm;1559;2008;40,62793;-8,560917;Elevator;http://primeavm.prime-yield.com/property/5789073;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;67575;93 sqm;727;1998;40,641054;-8,609025;;http://primeavm.prime-yield.com/property/5789074;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;95000;80 sqm;1188;;40,62849912;-8,560987744;;http://primeavm.prime-yield.com/property/5789075;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;95000;85 sqm;1118;;40,62927;-8,56665;Accessibility for the disabled, Suite;http://primeavm.prime-yield.com/property/5789076;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;79500;108 sqm;736;;40,62793;-8,560917;;http://primeavm.prime-yield.com/property/5789077;;;;;;;;;;;
10/09/20;Apartments;T2;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;94000;88 sqm;1068;2002;40,62793;-8,560917;;http://primeavm.prime-yield.com/property/5789078;;;;;;;;;;;
10/09/20;Apartments;T3;Used;Aveiro,Aveiro,Eixo e Eirol,Eixo e Eirol, Aveiro;140000;134 sqm;1049;;40,6107826;-8,536003;Elevator;http://primeavm.prime-yield.com/property/5789092;;;;;;;;;;;
